@id,building_usage,age,bays_x,bays_y,building_condition,floor_material,floor_material_others,num_floors,neighbour_attachement,overhang,owner_rent,retrofit,roof_material,roof_material_others,roof_slope,roof_slope_others,shape_elevation,shape_plan,soft_storey,structur_type,structure_others,column_size,earthquake_resistant_element,occupants_day,occupants_evening,occupants_morning,occupants_night,facility_number,operator_name,Lat,Lon
221605642,school,After_2000,5,3,Good,RCC/RBC,,4,Free_Standing,No,Rent,No,Others,CGI Sheet and RCC/RBC,Flat,,Setback,Rectangular,No,Non_Engineered_RC_Frame,,9x9,No,280,5,20,5,1,Camelliya English Boarding School,85.2997665,27.6953886
221609681,school,After_2000,1,2,Good,RCC/RBC,,3,Free_Standing,No,Rent,No,RCC/RBC,,Flat,,Setback,L-Shaped,No,Non_Engineered_RC_Frame,,9x9,No,250,,,,1,Avant Garde School,85.2972462,27.6922556
221609682,school,1960-1990,2,2,Good,RCC/RBC,,2,Free_Standing,No,Rent,No,RCC/RBC,,Flat,,Regular,Rectangular,No,Load_Bearing_Brick_Wall_in_Mud_Mortar,,,No,150,7,7,7,2,New Horizon Boarding School,85.2962545,27.6922697
221609683,school,After_2000,4,2,Good,RCC/RBC,,5,Free_Standing,Yes,Rent,No,RCC/RBC,,Flat,,Setback,Rectangular,No,Non_Engineered_RC_Frame,,9x9,No,150,,,,1,New Horizon Boarding School,85.2965501,27.6923927
221609684,school,1990-2000,3,5,Good,RCC/RBC,,3,Free_Standing,No,Rent,No,RCC/RBC,,Flat,,Regular,Rectangular,No,Load_Bearing_Brick_Wall_in_Cement_Mortar,,,No,35,,,,2,Avant Garde School,85.2971046,27.6922051
221621208,school,1990-2000,2,2,Average,RCC/RBC,,4,Two_Sides_Different_Height,No,Rent,No,RCC/RBC,,Flat,,Setback,Rectangular,No,Load_Bearing_Brick_Wall_in_Cement_Mortar,,,No,150,0,60,0,2,Prerana Mahila Madhyamik Vidhyala,85.3240599,27.659143
221621211,school,1990-2000,1,2,Average,RCC/RBC,,4,One_Side_Different_Height,No,Rent,No,RCC/RBC,,Flat,,Setback,L-Shaped,No,Non_Engineered_RC_Frame,,10x10,No,150,0,60,0,1,Prerana Mahila Madhyamik Vidhyala,85.3242036,27.6590993
221624757,school,1990-2000,1,4,Average,N/A,,1,Free_Standing,No,Rent,No,CGI,,Flat,,Regular,Rectangular,No,Load_Bearing_Brick_Wall_in_Cement_Mortar,,,No,100,,60,,3,Manjushree English Medium High School,85.3082439,27.6749899
221624758,school,1960-1990,3,2,Average,RCC/RBC,,3,Free_Standing,Yes,Rent,No,RCC/RBC,,Flat,,Regular,Rectangular,Yes,Load_Bearing_Brick_Wall_in_Cement_Mortar,,,No,5,3,3,3,1,Manjushree English Medium High School,85.3084873,27.674954
221624759,school,1990-2000,1,2,Average,N/A,,1,Free_Standing,No,Rent,No,CGI,,Flat,,Regular,Rectangular,No,Load_Bearing_Brick_Wall_in_Cement_Mortar,,,No,100,,,,2,Manjushree English Medium High School,85.3084631,27.6748869
221631009,college,After_2000,1,2,Average,N/A,,1,Free_Standing,No,Rent,No,CGI,,Sloped,,Regular,Triangular,No,Mixed,concrete block,,No,,,80,,3,Asian College,85.3097427,27.6708259
221631010,college,After_2000,1,2,Average,N/A,,1,Free_Standing,No,Rent,No,CGI,,Sloped,,Regular,Rectangular,No,Mixed,concrete block,,No,,,80,,2,Asian College,85.3096499,27.6708501
