#,,"generated_by='OpenQuake engine 3.12.0', start_date='2022-03-22T12:41:52', checksum=3502110342"
site_id,lon,lat
530,85.42666,27.67335
531,85.42680,27.67360
532,85.42785,27.67350
533,85.42783,27.67342
534,85.28972,27.73063
535,85.32853,27.68800
536,85.32822,27.68797
537,85.33137,27.68860
538,85.33242,27.68501
539,85.33243,27.68481
540,85.35023,27.68923
541,85.35040,27.68913
542,85.34718,27.67900
543,85.34566,27.67919
544,85.34577,27.67934
545,85.34494,27.67907
546,85.34318,27.67533
547,85.34299,27.67519
548,85.34607,27.71917
549,85.35442,27.71461
550,85.29758,27.71356
551,85.30307,27.73579
552,85.30292,27.73573
553,85.30288,27.73581
554,85.29368,27.71489
555,85.29363,27.71483
556,85.29368,27.71483
557,85.34130,27.74561
558,85.34140,27.74581
559,85.34010,27.74576
560,85.34038,27.74553
561,85.34013,27.74597
562,85.34621,27.75205
563,85.34612,27.75219
564,85.34789,27.75380
565,85.34795,27.75389
566,85.40641,27.65432
567,85.33088,27.68383
568,85.33100,27.68382
569,85.33101,27.68363
570,85.33314,27.68145
571,85.33048,27.68644
572,85.33143,27.68395
573,85.33036,27.68649
574,85.33146,27.68373
575,85.33116,27.68382
576,85.33116,27.68369
577,85.34832,27.69711
578,85.34841,27.69696
579,85.35053,27.75894
580,85.29438,27.71424
581,85.29615,27.72630
582,85.35213,27.71714
583,85.35242,27.71784
584,85.32954,27.70216
585,85.34995,27.71766
586,85.34959,27.71773
587,85.42953,27.67243
588,85.43042,27.67070
589,85.43051,27.67079
590,85.28280,27.72146
591,85.35118,27.71795
592,85.30376,27.73299
593,85.35000,27.71690
594,85.35003,27.71649
595,85.35020,27.71665
596,85.35024,27.71694
597,85.31823,27.73318
598,85.43046,27.66932
599,85.30577,27.70588
600,85.30802,27.70692
601,85.30663,27.70497
602,85.37267,27.67459
603,85.37304,27.67451
604,85.33748,27.74116
605,85.33730,27.74104
606,85.34961,27.72027
607,85.37246,27.67445
608,85.43211,27.66799
609,85.43178,27.66755
610,85.43204,27.66749
611,85.43160,27.66760
612,85.35022,27.71836
613,85.35035,27.71855
614,85.35037,27.71836
615,85.37671,27.67315
616,85.35281,27.71580
617,85.35316,27.71646
618,85.35722,27.71851
619,85.35690,27.71847
620,85.35713,27.71855
621,85.30514,27.70999
622,85.30486,27.71006
623,85.33104,27.70305
624,85.31264,27.72877
625,85.31230,27.72985
626,85.31452,27.73274
627,85.31200,27.73247
628,85.31428,27.73278
629,85.31397,27.73297
630,85.31298,27.72878
631,85.31237,27.72945
632,85.31334,27.73362
633,85.31203,27.73263
634,85.30620,27.71042
635,85.30343,27.73361
636,85.30766,27.71504
637,85.30756,27.71474
638,85.30759,27.71489
639,85.33238,27.68048
640,85.33246,27.68056
641,85.33253,27.68027
642,85.34369,27.73976
643,85.34900,27.74779
644,85.34897,27.74852
645,85.34428,27.74127
646,85.34412,27.74160
647,85.34402,27.74148
648,85.34423,27.74158
649,85.34413,27.74129
650,85.32766,27.68684
651,85.33400,27.69098
652,85.32960,27.69197
653,85.33222,27.69099
654,85.33230,27.69096
655,85.33392,27.69098
656,85.33285,27.69464
657,85.44271,27.67074
658,85.43888,27.67336
659,85.43636,27.67542
660,85.34319,27.74504
661,85.31024,27.69651
662,85.33165,27.68986
663,85.42393,27.66440
664,85.43373,27.66859
665,85.43376,27.66852
666,85.42281,27.66991
667,85.43524,27.66734
668,85.34043,27.74332
669,85.34071,27.74338
670,85.34139,27.74622
671,85.34059,27.74353
672,85.33294,27.69102
673,85.33312,27.69100
674,85.33189,27.69256
675,85.33314,27.69109
676,85.43664,27.67364
677,85.43285,27.64348
678,85.33359,27.68075
679,85.33352,27.68071
680,85.32623,27.72691
681,85.32617,27.72696
682,85.32615,27.72689
683,85.45714,27.63157
684,85.45657,27.63169
