lon lat pga(cm/s/s)
85.8871 26.8501 18.6123
85.9038 26.8501 18.2856
85.9205 26.8501 17.6696
85.9372 26.8501 16.8586
85.9539 26.8501 15.9657
85.9706 26.8501 15.1782
85.9873 26.8501 14.702
86.004 26.8501 14.743
86.0207 26.8501 15.4113
86.0374 26.8501 16.4339
86.0541 26.8501 17.4419
86.0708 26.8501 18.0663
86.0875 26.8501 18.0488
86.1042 26.8501 17.5722
86.1209 26.8501 16.9299
86.1376 26.8501 16.4155
86.1543 26.8501 16.2375
86.171 26.8501 16.2666
86.1877 26.8501 16.2886
86.2044 26.8501 16.0893
86.2211 26.8501 15.5241
86.2378 26.8501 14.7268
86.2545 26.8501 13.9007
86.2712 26.8501 13.2491
86.2879 26.8501 12.9244
86.3046 26.8501 12.8757
86.3213 26.8501 13.0009
86.338 26.8501 13.1982
86.3547 26.8501 13.3859
86.3714 26.8501 13.5622
86.3881 26.8501 13.7456
86.4048 26.8501 13.9547
86.4215 26.8501 14.1941
86.4382 26.8501 14.4128
86.4549 26.8501 14.5462
86.4716 26.8501 14.5295
86.4883 26.8501 14.3217
86.505 26.8501 13.9764
86.5217 26.8501 13.5709
86.5384 26.8501 13.1824
86.5551 26.8501 12.8714
86.5718 26.8501 12.6301
86.5885 26.8501 12.4341
86.6052 26.8501 12.2586
86.6219 26.8501 12.0827
86.6386 26.8501 11.8988
86.6553 26.8501 11.7032
86.672 26.8501 11.4918
86.6887 26.8501 11.2697
86.7054 26.8501 11.0767
86.7221 26.8501 10.9618
86.7388 26.8501 10.9736
86.7555 26.8501 11.1258
86.7722 26.8501 11.2912
86.7889 26.8501 11.3072
86.8056 26.8501 11.0114
86.8223 26.8501 10.322
86.839 26.8501 9.4803
86.8557 26.8501 8.8082
86.8724 26.8501 8.6278
86.8891 26.8501 9.1555
86.9058 26.8501 10.1858
86.9225 26.8501 11.4076
86.9392 26.8501 12.51
86.9559 26.8501 13.1818
86.9726 26.8501 13.1121
86.9893 26.8501 11.9899
84.0 26.8668 7.52
84.0167 26.8668 7.1648
84.0334 26.8668 7.0346
84.0501 26.8668 7.0946
84.0668 26.8668 7.31
84.0835 26.8668 7.646
84.1002 26.8668 8.0679
84.1169 26.8668 8.5408
84.1336 26.8668 9.03
84.1503 26.8668 9.4989
84.167 26.8668 9.9039
84.1837 26.8668 10.1994
84.2004 26.8668 10.34
84.2171 26.8668 10.3024
84.2338 26.8668 10.1517
84.2505 26.8668 9.9751
84.2672 26.8668 9.86
84.2839 26.8668 9.8673
84.3006 26.8668 9.9532
84.3173 26.8668 10.0475
84.334 26.8668 10.08
84.3507 26.8668 10.0056
84.3674 26.8668 9.8793
84.3841 26.8668 9.7808
84.4008 26.8668 9.79
84.4175 26.8668 9.9628
84.4342 26.8668 10.2585
84.4509 26.8668 10.6124
84.4676 26.8668 10.96
84.4843 26.8668 11.2528
84.501 26.8668 11.5081
84.5177 26.8668 11.7593
84.5344 26.8668 12.04
84.5511 26.8668 12.3566
84.5678 26.8668 12.6067
84.5845 26.8668 12.661
84.6012 26.8668 12.39
84.6179 26.8668 11.7401
84.6346 26.8668 10.9613
84.6513 26.8668 10.3793
84.668 26.8668 10.32
84.6847 26.8668 10.9877
84.7014 26.8668 12.1007
84.7181 26.8668 13.2558
84.7348 26.8668 14.05
84.7515 26.8668 14.1921
84.7682 26.8668 13.8398
84.7849 26.8668 13.2625
84.8016 26.8668 12.73
84.8183 26.8668 12.4606
84.835 26.8668 12.4678
84.8517 26.8668 12.7135
84.8684 26.8668 13.16
84.8851 26.8668 13.7484
84.9018 26.8668 14.3366
84.9185 26.8668 14.7615
84.9352 26.8668 14.86
84.9519 26.8668 14.5355
84.9686 26.8668 13.957
84.9853 26.8668 13.36
85.002 26.8668 12.98
85.0187 26.8668 12.9864
85.0354 26.8668 13.2842
85.0521 26.8668 13.7124
85.0688 26.8668 14.11
85.0855 26.8668 14.3735
85.1022 26.8668 14.63
85.1189 26.8668 15.0639
85.1356 26.8668 15.86
85.1523 26.8668 17.0982
85.169 26.8668 18.4397
85.1857 26.8668 19.4414
85.2024 26.8668 19.66
85.2191 26.8668 18.8229
85.2358 26.8668 17.3411
85.2525 26.8668 15.7962
85.2692 26.8668 14.77
85.2859 26.8668 14.6757
85.3026 26.8668 15.2533
85.3193 26.8668 16.0742
85.336 26.8668 16.71
85.3527 26.8668 16.8367
85.3694 26.8668 16.5482
85.3861 26.8668 16.0432
85.4028 26.8668 15.52
85.4195 26.8668 15.1524
85.4362 26.8668 15.0151
85.4529 26.8668 15.1576
85.4696 26.8668 15.63
85.4863 26.8668 16.4369
85.503 26.8668 17.4028
85.5197 26.8668 18.3073
85.5364 26.8668 18.93
85.5531 26.8668 19.1151
85.5698 26.8668 18.9663
85.5865 26.8668 18.6518
85.6032 26.8668 18.34
85.6199 26.8668 18.1543
85.6366 26.8668 18.0383
85.6533 26.8668 17.8907
85.67 26.8668 17.61
85.6867 26.8668 17.1347
85.7034 26.8668 16.5617
85.7201 26.8668 16.0279
85.7368 26.8668 15.67
85.7535 26.8668 15.5947
85.7702 26.8668 15.7886
85.7869 26.8668 16.2082
85.8036 26.8668 16.81
85.8203 26.8668 17.5351
85.837 26.8668 18.2628
85.8537 26.8668 18.8565
85.8704 26.8668 19.18
85.8871 26.8668 19.1427
85.9038 26.8668 18.8367
85.9205 26.8668 18.3998
85.9372 26.8668 17.97
85.9539 26.8668 17.6587
85.9706 26.8668 17.4718
85.9873 26.8668 17.3891
86.004 26.8668 17.39
86.0207 26.8668 17.4543
86.0374 26.8668 17.5623
86.0541 26.8668 17.6941
86.0708 26.8668 17.83
86.0875 26.8668 17.948
86.1042 26.8668 18.0166
86.1209 26.8668 18.0019
86.1376 26.8668 17.87
86.1543 26.8668 17.5958
86.171 26.8668 17.1888
86.1877 26.8668 16.6675
86.2044 26.8668 16.05
86.2211 26.8668 15.3673
86.2378 26.8668 14.7006
86.2545 26.8668 14.1436
86.2712 26.8668 13.79
86.2879 26.8668 13.6986
86.3046 26.8668 13.7887
86.3213 26.8668 13.9444
86.338 26.8668 14.05
86.3547 26.8668 14.0224
86.3714 26.8668 13.9096
86.3881 26.8668 13.7919
86.4048 26.8668 13.75
86.4215 26.8668 13.8373
86.4382 26.8668 13.9993
86.4549 26.8668 14.1541
86.4716 26.8668 14.22
86.4883 26.8668 14.141
86.505 26.8668 13.9634
86.5217 26.8668 13.7591
86.5384 26.8668 13.6
86.5551 26.8668 13.5335
86.5718 26.8668 13.5084
86.5885 26.8668 13.4492
86.6052 26.8668 13.28
86.6219 26.8668 12.9497
86.6386 26.8668 12.5053
86.6553 26.8668 12.0182
86.672 26.8668 11.56
86.6887 26.8668 11.1954
86.7054 26.8668 10.9628
86.7221 26.8668 10.8938
86.7388 26.8668 11.02
86.7555 26.8668 11.3349
86.7722 26.8668 11.6786
86.7889 26.8668 11.853
86.8056 26.8668 11.66
86.8223 26.8668 10.9922
86.839 26.8668 10.1043
86.8557 26.8668 9.3417
86.8724 26.8668 9.05
86.8891 26.8668 9.466
86.9058 26.8668 10.3932
86.9225 26.8668 11.5262
86.9392 26.8668 12.56
86.9559 26.8668 13.1894
86.9726 26.8668 13.1093
86.9893 26.8668 12.0146
84.0 26.8835 7.8508
84.0167 26.8835 7.7644
84.0334 26.8835 7.7886
84.0501 26.8835 7.9106
84.0668 26.8835 8.1176
84.0835 26.8835 8.3966
84.1002 26.8835 8.7349
84.1169 26.8835 9.1196
84.1336 26.8835 9.5378
84.1503 26.8835 9.9668
84.167 26.8835 10.3447
84.1837 26.8835 10.5996
84.2004 26.8835 10.6599
84.2171 26.8835 10.4875
84.2338 26.8835 10.1801
84.2505 26.8835 9.869
84.2672 26.8835 9.6856
84.2839 26.8835 9.7207
84.3006 26.8835 9.9032
84.3173 26.8835 10.1213
84.334 26.8835 10.2634
84.3507 26.8835 10.2519
84.3674 26.8835 10.1468
84.3841 26.8835 10.042
84.4008 26.8835 10.0316
84.4175 26.8835 10.18
84.4342 26.8835 10.4324
84.4509 26.8835 10.7044
84.4676 26.8835 10.9113
84.4843 26.8835 11.0007
84.501 26.8835 11.0474
84.5177 26.8835 11.1584
84.5344 26.8835 11.4405
84.5511 26.8835 11.9443
84.5678 26.8835 12.4949
84.5845 26.8835 12.8609
84.6012 26.8835 12.8112
84.6179 26.8835 12.2192
84.6346 26.8835 11.378
84.6513 26.8835 10.6856
84.668 26.8835 10.5398
84.6847 26.8835 11.1975
84.7014 26.8835 12.3514
84.7181 26.8835 13.5533
84.7348 26.8835 14.3548
84.7515 26.8835 14.4349
84.7682 26.8835 13.9819
84.7849 26.8835 13.3113
84.8016 26.8835 12.7386
84.8183 26.8835 12.5128
84.835 26.8835 12.6162
84.8517 26.8835 12.9644
84.8684 26.8835 13.4734
84.8851 26.8835 14.0555
84.9018 26.8835 14.6104
84.9185 26.8835 15.0345
84.9352 26.8835 15.2243
84.9519 26.8835 15.1185
